2008	10	343	1	10	3.72	0	19.1	159.5	154.6	92.2043011
2009	10	316	1	10	3.72	1	18.6	209.5	137.4	84.9462366
2010	10	289	1	10	3.72	2	18.8	204.5	104.9	77.688172
2011	10	348	1	10	3.72	3	19.1	149	151.2	93.5483871
2012	10	386	1	10	3.72	4	19.3	149	180.9	103.763441
2013	10	303	1	10	3.72	5	19.8	289	120.8	81.4516129
2014	10	306	1	10	3.72	6	18.6	385	135.1	82.2580645
2015	10	385	1	10	3.72	7	18.8	48.5	189	103.494624
2017	10	255	1	10	3.72	8	17.7	388	99.9	68.5483871
2010	10	337	1	30	4.2	1	18.8	204.5	104.9	80.23809524
2011	10	431	1	30	4.2	2	19.1	149	151.2	102.6190476
2012	10	490	1	30	4.2	3	19.3	149	180.9	116.6666667
2013	10	372	1	30	4.2	4	19.8	289	120.8	88.57142857
2010	10	342	5	20	5.12	0	18.8	204.5	104.9	66.796875
2011	10	409	5	20	5.12	1	19.1	149	151.2	79.8828125
2012	10	452	5	20	5.12	2	19.3	149	180.9	88.28125
2013	10	347	5	20	5.12	3	19.8	289	120.8	67.7734375
2014	10	336	5	20	5.12	4	18.6	385	135.1	65.625
2015	10	452	5	20	5.12	5	18.8	48.5	189	88.28125
2016	10	318	5	20	5.12	6	19.4	57	105	62.109375
2017	10	289	5	20	5.12	7	17.7	388	99.9	56.4453125
2011	10	469	3	30	4.56	0	19.1	149	151.2	102.8508772
2012	10	519	3	30	4.56	1	19.3	149	180.9	113.8157895
2013	10	394	3	30	4.56	2	19.8	289	120.8	86.40350877
2014	10	412	3	30	4.56	3	18.6	385	135.1	90.35087719
2015	10	516	3	30	4.56	4	18.8	48.5	189	113.1578947
2016	10	351	3	30	4.56	5	19.4	57	105	76.97368421
2012	10	412	1	30	3.8	1	19.3	149	180.9	108.4210526
2013	10	225	13	30	3.075	2	19.8	289	120.8	73.17073171
2014	10	223	13	30	3.075	3	18.6	385	135.1	72.5203252
2015	10	273	13	30	3.075	4	18.8	48.5	189	88.7804878
2016	10	196	13	30	3.075	5	19.4	57	105	63.7398374
2011	10	347	1	30	3.06	0	19.1	149	151.2	113.3986928
2012	10	382	1	30	3.06	1	19.3	149	180.9	124.8366013
2013	10	275	1	30	3.06	2	19.8	289	120.8	89.86928105
2014	10	276	1	30	3.06	3	18.6	385	135.1	90.19607843
2015	10	346	1	30	3.06	4	18.8	48.5	189	113.0718954
2016	10	216	1	30	3.06	5	19.4	57	105	70.58823529
2017	10	203	1	30	3.06	6	17.7	388	99.9	66.33986928
2012	10	398	1	30	3.4	1	19.3	149	180.9	117.0588235
2013	10	293	1	30	3.4	2	19.8	289	120.8	86.17647059
2014	10	288	1	30	3.4	3	18.6	385	135.1	84.70588235
2015	10	358	1	30	3.4	4	18.8	48.5	189	105.2941176
2013	10	376	15	30	4.23	0	19.8	289	120.8	88.88888889
2014	10	385	15	30	4.23	1	18.6	385	135.1	91.01654846
2015	10	482	15	30	4.23	2	18.8	48.5	189	113.9479905
2017	10	314	15	30	4.23		17.7	388	99.9	74.23167849
2014	10	452	1	30	4.66	1	18.6	385	135.1	96.99570815
2015	10	574	1	30	4.66	2	18.8	48.5	189	123.1759657
2016	10	380	1	30	4.66	3	19.4	57	105	81.54506438
2017	10	348	1	30	4.66	4	17.7	388	99.9	74.67811159
2013	10	305	1	30	4.68	1	19.8	289	120.8	65.17094017
2014	10	412	1	30	4.68	2	18.6	385	135.1	88.03418803
2012	10	420	1	30	3.68	0	19.3	149	180.9	114.1304348
2013	10	322	1	30	3.68	1	19.8	289	120.8	87.5
2014	10	329	1	30	3.68	2	18.6	385	135.1	89.40217391
2015	10	419	1	30	3.68	3	18.8	48.5	189	113.8586957
2016	10	279	1	30	3.68	4	19.4	57	105	75.81521739
