2008	2	411	1	10	3.72	0	5.4	55	219.3	110.483871
2009	2	287	1	10	3.72	1	8.1	72.5	127.3	77.1505376
2010	2	269	1	10	3.72	2	6.7	129.5	122.5	72.311828
2011	2	303	1	10	3.72	3	7.2	121	143.4	81.4516129
2012	2	310	1	10	3.72	4	5.4	136.5	148.5	83.3333333
2013	2	313	1	10	3.72	5	5.8	63	146	84.1397849
2014	2	278	1	10	3.72	6	5.7	124.5	119.1	74.7311828
2015	2	343	1	10	3.72	7	6.5	41.5	167	92.2043011
2017	2	369	1	10	3.72	8	7.5	14.5	192.1	99.19354839
2010	2	350	1	30	4.2	1	6.7	129.5	122.5	83.33333333
2011	2	404	1	30	4.2	2	7.2	121	143.4	96.19047619
2012	2	412	1	30	4.2	3	5.4	136.5	148.5	98.0952381
2013	2	412	1	30	4.2	4	5.8	63	146	98.0952381
2010	2	311	5	20	5.12	0	6.7	129.5	122.5	60.7421875
2011	2	356	5	20	5.12	1	7.2	121	143.4	69.53125
2012	2	356	5	20	5.12	2	5.4	136.5	148.5	69.53125
2013	2	369	5	20	5.12	3	5.8	63	146	72.0703125
2014	2	333	5	20	5.12	4	5.7	124.5	119.1	65.0390625
2015	2	382	5	20	5.12	5	6.5	41.5	167	74.609375
2016	2	404	5	20	5.12	6	7.7	79	171.4	78.90625
2017	2	394	5	20	5.12	7	7.5	14.5	192.1	76.953125
2011	2	435	3	30	4.56	0	7.2	121	143.4	95.39473684
2012	2	437	3	30	4.56	1	5.4	136.5	148.5	95.83333333
2013	2	436	3	30	4.56	2	5.8	63	146	95.61403509
2014	2	383	3	30	4.56	3	5.7	124.5	119.1	83.99122807
2015	2	467	3	30	4.56	4	6.5	41.5	167	102.4122807
2016	2	479	3	30	4.56	5	7.7	79	171.4	105.0438596
2012	2	342	1	30	3.8	0	5.4	136.5	148.5	90
2013	2	225	13	30	3.075	1	5.8	63	146	73.17073171
2014	2	200	13	30	3.075	2	5.7	124.5	119.1	65.04065041
2015	2	247	13	30	3.075	3	6.5	41.5	167	80.32520325
2016	2	249	13	30	3.075	4	7.7	79	171.4	80.97560976
2017	2	268	13	30	3.075	5	7.5	14.5	192.1	87.15447154
2012	2	330	1	30	3.06	0	5.4	136.5	148.5	107.8431373
2013	2	319	1	30	3.06	1	5.8	63	146	104.248366
2014	2	269	1	30	3.06	2	5.7	124.5	119.1	87.90849673
2015	2	328	1	30	3.06	3	6.5	41.5	167	107.1895425
2016	2	327	1	30	3.06	4	7.7	79	171.4	106.8627451
2017	2	350	1	30	3.06	5	7.5	14.5	192.1	114.379085
2012	2	340	1	30	3.4	1	5.4	136.5	148.5	100
2013	2	329	1	30	3.4	2	5.8	63	146	96.76470588
2014	2	274	1	30	3.4	3	5.7	124.5	119.1	80.58823529
2015	2	343	1	30	3.4	4	6.5	41.5	167	100.8823529
2013	2	410	15	30	4.23	0	5.8	63	146	96.92671395
2014	2	355	15	30	4.23	1	5.7	124.5	119.1	83.92434988
2015	2	383	15	30	4.23	2	6.5	41.5	167	90.54373522
2017	2	483	15	30	4.23		7.5	14.5	192.1	114.1843972
2014	2	419	1	30	4.66	0	5.7	124.5	119.1	89.91416309
2015	2	522	1	30	4.66	1	6.5	41.5	167	112.0171674
2016	2	538	1	30	4.66	2	7.7	79	171.4	115.4506438
2017	2	584	1	30	4.66	3	7.5	14.5	192.1	125.3218884
2013	2	421	1	30	4.68	0	5.8	63	146	89.95726496
2014	2	288	1	30	4.68	1	5.7	124.5	119.1	61.53846154
2012	2	346	1	30	3.68	0	5.4	136.5	148.5	94.02173913
2013	2	345	1	30	3.68	1	5.8	63	146	93.75
2014	2	298	1	30	3.68	2	5.7	124.5	119.1	80.97826087
2015	2	365	1	30	3.68	3	6.5	41.5	167	99.18478261
2016	2	377	1	30	3.68	4	7.7	79	171.4	102.4456522
